Moscow Oblast,RU-MOS
Nizhny Novgorod Oblast,RU-NIZ
Leningrad Oblast,RU-LEN
Lipetsk Oblast,RU-LIP
Belgorod Oblast,RU-BEL
Kaliningrad Oblast,RU-KGD
Krasnodar Krai,RU-KDA
Perm Krai,RU-PER
Kemerovo Oblast,RU-KEM
Tyumen Oblast,RU-TYU
Kirov Oblast,RU-KIR
Komi Republic,RU-KO
Samara Oblast,RU-SAM
Arkhangelsk Oblast,RU-ARK
Kaluga Oblast,RU-KLU
Krasnoyarsk Krai,RU-KYA
Penza Oblast,RU-PNZ
Republic of Khakassia,RU-KK
Republic of Tatarstan,RU-TT
Sverdlovsk Oblast,RU-SVE
Tambov Oblast,RU-TAM
Tver Oblast,RU-TVE
Yaroslavl Oblast,RU-YAR
Novosibirsk Oblast,RU-NVS
Tomsk Oblast,RU-TOM
Chuvashia Republic,RU-CU
Ivanovo Oblast,RU-IVA
Khabarovsk Krai,RU-KHA
Khanty-Mansi Autonomous Okrug,RU-KHM
Murmansk Oblast,RU-MUR
Orenburg Oblast,RU-ORE
Ryazan Oblast,RU-RYA
Sakha Republic,RU-SA
Saratov Oblast,RU-SAR
Tula Oblast,RU-TUL
Voronezh Oblast,RU-VOR
Ulyanovsk Oblast,RU-ULY
Chelyabinsk Oblast,RU-CHE
Crimean Peninsula,RU-CR
Kabardino-Balkarian Republic,RU-KB
Kurgan Oblast,RU-KGN
Stavropol Krai,RU-STA
Bryansk Oblast,RU-BRY
Novgorod Oblast,RU-NGR
Udmurt Republic,RU-UD
Chechnya,RU-CE
Oryol Oblast,RU-ORL
Primorsky Krai,RU-PRI
Republic of Bashkortostan,RU-BA
Volgograd Oblast,RU-VGG
Pskov Oblast,RU-PSK
Rostov Oblast,RU-ROS
Buryatia,RU-BU
